brand,phonename,cpu,charging,waterproof,screen,characteristic,phonehref,img_url
['荣耀（HONOR）'],[' 荣耀X40 GT竞速版 '],['骁龙888'],['50-79W'],['不支持防水'],['LCD'],未知,https://item.jd.com/100068627151.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=b2b4db3806a745d0b09ef333afdadb29,https://img11.360buyimg.com/n1/s450x450_jfs/t1/96334/15/37805/74038/653a2f21Ff7913a02/776688bc1ede5d40.jpg
['vivo'],[' iQOO Neo8 Pro '],['天玑9200+'],['120-150W'],['IP53'],['OLED直屏'],['屏幕指纹，屏幕高刷新率，光学防抖拍照，NFC'],https://item.jd.com/100051092840.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=f4eec78f2c404d75af32dc4c92c8103e,https://img10.360buyimg.com/n1/s450x450_jfs/t1/236925/20/585/77231/65379955F334c5de0/2d8207fa9a976fa5.jpg
['小米（MI）'],[' Redmi K60 Pro '],['骁龙8 Gen2'],['120-150W'],['IP53'],['OLED直屏'],未知,https://item.jd.com/100041239042.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=981e3244121c4be495e6f5f00e7aebeb,https://img12.360buyimg.com/n1/s450x450_jfs/t1/216803/15/32521/58141/648eeff0F7c282c31/d831d8b9818c96b1.jpg
['OPPO'],[' OPPO K10 5G '],['天玑8000'],['50-79W'],['生活防水'],['LTPS LCD'],['屏幕高刷新率'],https://item.jd.com/100037323622.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=df8e06bd19da4f9a80ce79b45e1e03a6,https://img12.360buyimg.com/n1/s450x450_jfs/t1/228210/11/453/54263/6534df44Ff078b796/898d072b2ff6a09c.jpg
['vivo'],[' iQOO Neo7 SE '],['天玑8200'],['120-150W'],['不支持防水'],['OLED直屏'],未知,https://item.jd.com/100048172463.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=c63021e95c0a411ea702d5a88084bb96,https://img13.360buyimg.com/n1/s450x450_jfs/t1/229348/22/512/68149/6535e8a4Fdb19caa6/2a0212711687a653.jpg
['OPPO'],[' OPPO Reno10 Pro+ 5G '],['骁龙8+ Gen1'],['80-119W'],['IPX4'],['OLED曲面屏'],未知,https://item.jd.com/100052125032.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=6cbb0a8755aa47fc83b3c3b9ba62d0c9,https://img12.360buyimg.com/n1/s450x450_jfs/t1/159338/12/40363/76225/6534c0c1F71f3b416/1e47fd846fe99a7b.jpg
['vivo'],[' iQOO 11S '],['骁龙8 Gen2'],['151-200W'],['生活防水'],['OLED直屏'],['E6材质，屏幕指纹，屏幕高刷新率，NFC'],https://item.jd.com/100055626080.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=1f69d1ec166942249b8df87608bb62f1,https://img10.360buyimg.com/n1/s450x450_jfs/t1/114413/19/42450/104973/65351d12F2eff9076/c1a4abdf016fd795.jpg
['小米（MI）'],[' Redmi Note 13 Pro '],['骁龙7s Gen2'],['50-79W'],['IP54'],['OLED直屏'],未知,https://item.jd.com/100068892967.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=0670bf9aeb084d5f9da66c143bf325fd,https://img12.360buyimg.com/n1/s450x450_jfs/t1/123912/2/39877/64378/652f9baeF58e5e6a3/ec3d064d640201cf.jpg
['vivo'],[' iQOO Z7 '],['骁龙782G'],['120-150W'],['不支持防水'],['LCD'],未知,https://item.jd.com/100045503730.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=8b5537903ce8405eb4e9412aa23ea584,https://img10.360buyimg.com/n1/s450x450_jfs/t1/123509/38/40474/68003/65361898F3ed19b75/f2f0b97cfe27d633.jpg
['荣耀（HONOR）'],[' 荣耀80 Pro '],['骁龙8+ Gen1'],['50-79W'],['不支持防水'],['OLED直屏'],未知,https://item.jd.com/100051639045.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=5b39cd67ce5e4ab082481c15c479a6f5,https://img10.360buyimg.com/n1/s450x450_jfs/t1/220687/7/13535/58223/63b58bdfF6531a539/52cad29877359f82.jpg
['vivo'],[' vivo X90 '],['天玑9200'],['120-150W'],['生活防水'],['OLED曲面屏'],未知,https://item.jd.com/100043413802.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=dcc34f971bb14500af6a8fd4178f84b0,https://img12.360buyimg.com/n1/s450x450_jfs/t1/163821/22/39474/115821/65186acbF82af2dd7/b60ded683fc184a4.jpg
['小米（MI）'],[' Redmi Note 11T Pro+ '],['天玑8100'],['120-150W'],['生活防水'],['LCD'],未知,https://item.jd.com/100023150137.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=0402278347354292ae7e37c6ec1111e2,https://img12.360buyimg.com/n1/s450x450_jfs/t1/28483/9/16800/68572/628cb2e9Ef114c674/5fbe663735f63657.jpg
['小米（MI）'],[' Redmi Note 13 Pro+ '],['天玑7200-Ultra'],['120-150W'],['IP68'],['OLED曲面屏'],未知,https://item.jd.com/10085852346082.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=2b1f554ae5d743a7b8f1451aa4d15c91,https://img12.360buyimg.com/n1/s450x450_jfs/t1/230454/2/454/71812/6535e769F65f4b85e/042be7ae9ce6f495.jpg
['小米（MI）'],[' 小米13 '],['骁龙8 Gen2'],['50-79W'],['IP68'],['OLED直屏'],未知,https://item.jd.com/100049486743.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=4bd3e842cc544e9c92f1d6791a62cff3,https://img13.360buyimg.com/n1/s450x450_jfs/t1/102740/9/37262/80065/6530ab8eF8102a676/b15380d47c841abd.jpg
['vivo'],[' iQOO Neo7 '],['天玑8200'],['120-150W'],['不支持防水'],['OLED直屏'],未知,https://item.jd.com/100048172463.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=8f73b56c814344ea9f8dfcb5cbc11016,https://img13.360buyimg.com/n1/s450x450_jfs/t1/229348/22/512/68149/6535e8a4Fdb19caa6/2a0212711687a653.jpg
['vivo'],[' vivo X90s '],['天玑9200+'],['120-150W'],['不支持防水'],['未上市'],未知,https://item.jd.com/100064056488.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=bc3df067d62c4496b2caf3bfa450a25d,https://img13.360buyimg.com/n1/s450x450_jfs/t1/118860/21/41722/107750/6502dc40F4500cf8e/dfabd120fd3fc93d.jpg
['努比亚（nubia）'],[' 红魔8S Pro '],['骁龙8 Gen2 领先版'],['80-119W'],['生活防水'],['OLED直屏'],['屏幕高刷新率'],https://item.jd.com/100061689359.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=cf01157b13524f34898928bc21768f77,https://img14.360buyimg.com/n1/s450x450_jfs/t1/226650/24/693/103366/6535c0e3F746337b9/e639f719a83731f2.jpg
['三星（SAMSUNG）'],[' 三星Galaxy S23 '],['骁龙8 Gen2'],['以官网信息为准'],['IP68'],['OLED直屏'],未知,https://item.jd.com/100042368194.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=dd000379a5244e15bca072e19fa6f555,https://img14.360buyimg.com/n1/s450x450_jfs/t1/196705/28/41261/53451/653652fdFdbbe0c13/1e2978eb0efd3ea6.jpg
['一加'],[' 一加手机11 '],['骁龙8 Gen2'],['80-119W'],['IPX4'],['OLED曲面屏'],['屏幕指纹，屏幕高刷新率，NFC'],https://item.jd.com/100040195622.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=422e6ce48217427da47fa2a521e05c43,https://img12.360buyimg.com/n1/s450x450_jfs/t1/113213/21/45444/60957/65354937Fb6bace10/705c71e07276a066.jpg
['努比亚（nubia）'],[' 努比亚Z50 Ultra '],['骁龙8 Gen2'],['80-119W'],['生活防水'],['OLED直屏'],未知,https://item.jd.com/100045180344.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=e01e94e6ec9c4099bb819585f2160ab1,https://img14.360buyimg.com/n1/s450x450_jfs/t1/189370/6/37455/97922/6502aef9F47dd1f45/915d80cb46890cd2.jpg
['荣耀（HONOR）'],[' 荣耀80 '],['骁龙782G'],['50-79W'],['不支持防水'],['OLED曲面屏'],未知,https://item.jd.com/100048275999.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=850550d27e774da4b9203b4fde0af8ae,https://img14.360buyimg.com/n1/s450x450_jfs/t1/93274/3/45557/41973/6534fccbF31d3f937/97d959c8bfb55bdb.jpg
['小米（MI）'],[' 小米Civi 3 '],['天玑8200-Ultra'],['50-79W'],['IP53'],['OLED曲面屏'],未知,https://item.jd.com/100052684910.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=e71244240192496bbeb88661e5f496ef,https://img10.360buyimg.com/n1/s450x450_jfs/t1/233209/2/197/68592/6530d648Fb31a7527/d432edf85770546a.jpg
['荣耀（HONOR）'],[' 荣耀70 '],['骁龙778G+'],['50-79W'],['不支持防水'],['OLED曲面屏'],未知,https://item.jd.com/100023070501.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=29bab136d365411d8c4dc908e340aafc,https://img11.360buyimg.com/n1/s450x450_jfs/t1/128928/2/26322/49074/632873d4E0126386e/33882a86e930cde5.jpg
['荣耀（HONOR）'],[' 荣耀Magic5 '],['骁龙8 Gen2'],['50-79W'],[],['OLED曲面屏'],['屏幕指纹，屏幕高刷新率，高倍率变焦，NFC，红外遥控，大底主摄'],https://item.jd.com/100045099822.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=556acfb8424445bea77bb6b6986e218b,https://img12.360buyimg.com/n1/s450x450_jfs/t1/222936/18/29616/89711/6538cf36F8e6b0397/9c40b4aa67d34c2e.jpg
['荣耀（HONOR）'],[' 荣耀90 Pro '],['骁龙8+ Gen1'],['80-119W'],['不支持防水'],['OLED曲面屏'],未知,https://item.jd.com/100053093138.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=8e3a994a4ebe4594991cc31b7e354c08,https://img13.360buyimg.com/n1/s450x450_jfs/t1/236648/29/619/99783/6538ee9aFdd4940b8/ac20fe3ca9deb101.jpg
['小米（MI）'],[' 小米13 Pro '],['骁龙8 Gen2'],['120-150W'],['IP68'],['OLED曲面屏'],未知,https://item.jd.com/100049486749.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=ca5c5dc51caf4692a1f5a566bdaf29f3,https://img14.360buyimg.com/n1/s450x450_jfs/t1/101875/16/31999/17274/6395a937E971b313b/f6f90b0c74a6acb7.jpg
